,Unnamed: 0,code,last_modified_datetime,product_name,brands,countries,serving_size,nutrition_grade_fr,energy_100g,fat_100g,saturated-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,vitamin-a_100g,vitamin-c_100g,calcium_100g,iron_100g,nutrition-score-fr_100g
0,2,4559,2017-03-09T14:32:37Z,Peanuts,Torn & Glasser,US,28.0,b,1941.0,17.86,0.0,0.0,0.0,60.71,17.86,7.1,17.86,0.635,0.25,0.0,0.0,0.071,0.00129,0.0
1,77,33640,2017-03-09T09:07:05Z,Granola Cranberry And Acai,Viva La Salud,US,55.0,c,1824.0,10.91,0.91,0.0,0.0,74.55,25.45,5.5,9.09,0.254,0.1,0.0,0.0,0.036,0.00262,6.0
2,80,33688,2017-03-09T09:07:04Z,"Peanuts, Mixed Nuts",Northgate Market,US,28.0,d,2389.0,42.86,7.14,0.0,0.0,25.0,14.29,7.1,25.0,0.54356,0.214,0.0,0.0,0.071,0.00514,14.0
3,146,43595,2017-03-09T09:07:04Z,Cranberries,Torn & Glasser,US,30.0,c,1255.0,0.0,0.0,0.0,0.0,83.33,66.67,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
4,147,45292,2017-03-09T14:32:38Z,Turkish Apricots,Northgate,US,40.0,c,1046.0,0.0,0.0,0.0,0.0,62.5,52.5,7.5,2.5,0.0,0.0,0.001125,0.0,0.05,0.0036,8.0
5,148,45308,2017-03-09T09:07:03Z,Banana Chips Sweetened,Not A Branded Item,US,28.0,d,2243.0,28.57,28.57,0.0,0.018,64.29,14.29,3.6,3.57,0.0,0.0,0.0,0.0214,0.0,0.00129,14.0
6,149,45346,2017-03-09T14:32:38Z,Granola Honey Almonds,Northgate,US,55.0,b,1674.0,14.55,2.73,0.0,0.0,60.0,21.82,7.3,9.09,0.1143,0.045,0.0,0.0,0.073,0.00262,0.0
7,150,45421,2017-03-09T14:32:37Z,Chili Mango,Torn & Glasses,US,40.0,e,1569.0,2.5,0.0,0.0,0.0,87.5,65.0,2.5,2.5,1.9685,0.775,0.00075,0.0,0.1,0.0009,19.0
8,151,45483,2017-03-09T09:07:04Z,Milk Chocolate Pretzels,Torn & Glasser,US,40.0,e,1883.0,22.5,12.5,0.0,0.012,70.0,42.5,2.5,5.0,1.016,0.4,7.5e-05,0.0,0.05,0.0018,25.0
9,152,45599,2017-03-09T09:07:03Z,Peanuts,Northgate,US,28.0,b,1941.0,17.86,0.0,0.0,0.0,60.71,17.86,7.1,17.86,0.635,0.25,0.0,0.0,0.071,0.00129,0.0
10,180,1938067,2017-01-15T18:29:32Z,Chaussons tressés aux pommes,Kirkland Signature,Canada,150.0,c,1090.0,10.7,2.0,0.667,0.00533,38.7,24.7,2.0,3.33,0.647,0.255,0.0,0.0016,0.0133,0.00048,9.0
11,181,4302544,2017-03-02T14:41:27Z,Pain Burger Artisan,Kirkland Signature,Canada,90.0,b,1160.0,1.11,0.333,0.0,0.0,53.3,1.11,2.22,10.0,1.52,0.6,0.0,0.0,0.0222,0.006,1.0
12,185,8237798,2017-04-11T21:01:28Z,Quiche Lorraine,Kirkland Signature,Canada,280.0,b,478.0,6.79,2.86,0.0,0.0107,7.86,0.714,0.357,5.36,0.499,0.196,1.07e-05,0.000429,0.0286,0.000643,2.0
13,195,20039127,2017-03-10T09:36:08Z,Butter Croissants,Fresh & Easy,US,77.0,d,1523.0,16.88,10.39,0.0,0.052,44.16,5.19,1.3,7.79,1.08966,0.429,0.0001947,0.1013,0.026,0.00094,18.0
14,196,20039707,2017-03-10T09:36:09Z,Wild Blueberry Muffins,Fresh & Easy,US,108.0,d,1548.0,15.74,3.7,0.0,0.06,47.22,25.93,0.9,6.48,0.72898,0.287,2.79e-05,0.0,0.019,0.00167,14.0
15,197,20042509,2017-03-10T08:49:39Z,Bolillos,Fresh & Easy,US,94.0,b,1159.0,4.26,0.53,0.0,0.0,51.06,2.13,2.1,9.57,1.27,0.5,3.18e-05,0.016,0.319,0.00383,1.0
16,198,20043070,2017-03-10T08:49:40Z,Biscuit,Fresh & Easy,US,75.0,e,1452.0,20.0,10.67,0.0,0.053,33.33,2.67,1.3,8.0,1.4224,0.56,0.0002001,0.0,0.4,0.0024,19.0
17,199,20043087,2017-03-10T08:49:40Z,Biscuit,Fresh & Easy,US,75.0,d,1339.0,16.0,9.33,0.0,0.053,38.67,9.33,1.3,5.33,1.15062,0.453,0.0001599,0.0,0.267,0.0024,18.0
18,200,20043124,2017-03-10T08:18:22Z,Oatmeal Raisin Cookie,"Giant,  Fresh & Easy",US,113.0,e,1778.0,17.7,8.85,0.0,0.018,61.95,37.17,1.8,3.54,0.56134,0.221,5.31e-05,0.0,0.0,0.00127,21.0
19,201,20043131,2017-03-10T08:10:34Z,Sliced Plain Bagel,Fresh & Easy,US,85.0,b,1527.0,1.18,0.0,0.0,0.0,71.76,4.71,2.4,12.94,1.19634,0.471,0.0,0.0,0.071,0.00424,2.0
20,202,20044015,2017-03-10T08:18:22Z,Scone,Fresh & Easy,US,85.0,e,1920.0,25.88,15.29,0.0,0.035,52.94,30.59,2.4,3.53,0.4191,0.165,7.05e-05,0.0,0.047,0.00169,19.0
21,203,20044480,2017-03-10T08:10:34Z,Belgian Vanilla Waffle,Fresh & Easy,US,85.0,e,2067.0,22.35,9.41,0.0,0.024,67.06,28.24,2.4,8.24,1.70434,0.671,0.0,0.0,0.024,0.00085,25.0
22,204,20045616,2017-03-09T16:10:10Z,Seasonal Cookie Platter,Fresh & Easy,US,56.0,e,1866.0,21.43,8.93,0.0,0.036,60.71,35.71,1.8,3.57,0.68072,0.268,0.0002142,0.0,0.0,0.00129,20.0
23,205,20045791,2017-03-10T08:39:36Z,Muffin,Fresh & Easy,US,170.0,d,1749.0,21.76,5.29,0.0,0.071,51.76,32.94,2.4,5.88,0.6731,0.265,3.54e-05,0.0,0.088,0.00159,16.0
